бязь,"агъ (ди, ар)"
вылезать,"айчIвас (айчIвай, айчIуна, айчIв, айчIуб, амайчIва)"
вылезти,"айчIвас (айчIвай, айчIуна, айчIв, айчIуб, амайчIва)"
выходить,"айчIвас (айчIвай, айчIуна, айчIв, айчIуб, амайчIва)"
выбелить,"акуранас (акуранди, акуруна, акуран, акуруб, акумурана)"
выбрить (голову),"алакьас (алакьай, алакьуна, алакь, алакьуб, алмакьа)"
вертеть (ся),"аларуцас (аларуцай, аларуцуна, аларуц, аларуцуб, аламаруца)"
вращать (ся),"аларуцас (аларуцай, аларуцуна, аларуц, аларуцуб, аламаруца)"
взбираться,"алгъучIас (алгъучIай, алгъучIуна, алгъучI, алгъучIуб, алгъумучIа)"
взобраться,"алгъучIас (алгъучIай, алгъучIуна, алгъучI, алгъучIуб, алгъумучIа)"
взвесить,"алцанас (алцанди, алцуна, алцен, алцуб, малцана)"
взвешивать,"алцанас (алцанди, алцуна, алцен, алцуб, малцана)"
встретиться,алчархьас
встречаться,алчархьас
встреча,алчархьеб
выстрелить,"атас (артай, атуна, ате, атуб, амарта)"
выпадать,аттархьас
выпасть,аттархьас
выскакивать,аттархьас
выскочить,аттархьас
выход,аттвере ус
выйти,"аттвес (аттвей, аттушуна, аттаях, аттушуб, аттмева)"
выходить,"аттвес (аттвей, аттушуна, аттаях, аттушуб, аттмева)"
выводить,аттгъас
выносить,аттгъас
вынести,аттгъас
вывести,аттгъас
вынувать,"аттивас (аттивай, аттивуна, аттив, аттивуб, аттимива)"
вынуть,"аттивас (аттивай, аттивуна, аттив, аттивуб, аттимива)"
вытаскивать,"аттивас (аттивай, аттивуна, аттив, аттивуб, аттимива)"
вытащить,"аттивас (аттивай, аттивуна, аттив, аттивуб, аттимива)"
вытягивать,"аттивас (аттивай, аттивуна, аттив, аттивуб, аттимива)"
вытянуть,"аттивас (аттивай, аттивуна, аттив, аттивуб, аттимива)"
вынесенный,аттивуф
вынутый,аттивуф
вытащенный,аттивуф
выписывать,"аттликIенас (аттлиркIенди, аттликIен, аттликIина, аттликIиб, аттмалиркIана)"
выписать,"аттликIенас (аттлиркIенди, аттликIен, аттликIина, аттликIиб, аттмалиркIена)"
втирать,"атIишанас (атIиршанди, атIишина, атIишан, атIишиб, атIимиршана)"
втиреть,"атIишанас (атIиршанди, атIишина, атIишан, атIишиб, атIимиршана)"
включать (что-л),"ахъихьас (ахъихьай, ахъихьуна, ахъихь, ахъихьуб, ахъимихьа)"
включить (что-л),"ахъихьас (ахъихьай, ахъихьуна, ахъихь, ахъихьуб, ахъимихьа)"
включение,"ахъихьуб (а, ар)"
вход,ачаверевус
войти,"ачавес (ачавей, ачушуна, ачаях, ачушуб, ачамева)"
входить,"ачавес (ачавей, ачушуна, ачаях, ачушуб, ачамева)"
втягивать,"ачадивас (ачадивай, ачадивуна, ачадив, ачадивуб, ачмадива)"
втянуть,"ачадивас (ачадивай, ачадивуна, ачадив, ачадивуб, ачмадива)"
втянутый,ачадивуф
выпадать,ачархьас
выпасть,ачархьас
вбивать (в стену),"ачатас (ачартай, ачатуна, ачат, ачатуб, ачмарта)"
вбить (в стену),"ачатас (ачартай, ачатуна, ачат, ачатуб, ачмарта)"
впускать,"ачатас (ачартай, ачатуна, ачат, ачатуб, ачмарта)"
впустить,"ачатас (ачартай, ачатуна, ачат, ачатуб, ачмарта)"
вошедший,ачашуф
вонзать,"ачирхIас (ачирхIай, ачирхIуна, ачирхI, ачирхIуб, ачимирхIа)"
вонзить,"ачирхIас (ачирхIай, ачирхIуна, ачирхI, ачирхIуб, ачимирхIа)"
воткнуть,"ачирхIас (ачирхIай, ачирхIуна, ачирхI, ачирхIуб, ачимирхIа)"
всадить,"ачирхIас (ачирхIай, ачирхIуна, ачирхI, ачирхIуб, ачимирхIа)"
всаживать,"ачирхIас (ачирхIай, ачирхIуна, ачирхI, ачирхIуб, ачимирхIа)"
втыкать,"ачирхIас (ачирхIай, ачирхIуна, ачирхI, ачирхIуб, ачимирхIа)"
впрыгивать,"ачишас (ачишай, ачишина, ачиш, ачишиб, ачимиша)"
впрыгнуть,"ачишас (ачишай, ачишина, ачиш, ачишиб, ачимиша)"
"вцепиться (в драку, бой, борьбу)",ачукъас
"вцепляться (в драку, бой, борьбу)",ачукъас
вдова,"ашкIин (ди, ар)"
вдовец,"ашкIин (ди, ар)"
вблизи,багулив
возле,багулив
возле,багулив
вряд ли,баджат
ведро,"бадра (йи, бур)"
вишня,"бегIли (-, бур)"
в долг,бурджуни
воспитать,вардиш акьас
воспитывать,вардиш акьас
все,вари
верх,вартт
верхний,варттал алеф
всевышний,варттал алеф
верхний,варттинф
вдали,вархайиъ
время,"вахтт (уни, ар)"
временной,вахттунинф
визг,"вев (у, ер)"
вопль,"вев (у, ер)"
возможный,вереф
век,верш ис
выезжать,"вес (вей, ушуна, ях, ушуб, мева)"
выехать,"вес (вей, ушуна, ях, ушуб, мева)"
вол,"вец (уна, ар)"
вскакивать,"гъагьархьас (гъагьархьай, гъагьархьуна, гъагьархь, гъагьархьуб, гъагьамархьа)"
вскочить,"гъагьархьас (гъагьархьай, гъагьархьуна, гъагьархь, гъагьархьуб, гъагьамархьа)"
вставать,"гъайшас (гъайшай, гъайшина, гъайш, гъайшиб, гъамайша)"
встать,"гъайшас (гъайшай, гъайшина, гъайш, гъайшиб, гъамайша)"
вести,гъас
водить,гъас
воздержаться,гъурзар акьас
воздерживаться,гъурзар акьас
выступать,"гъутIас (гъутIай, гъутIуна, гъутI, гъутIуб, гъумартIа)"
выступить,"гъутIас (гъутIай, гъутIуна, гъутI, гъутIуб, гъумартIа)"
взять,"гъушанас (гъуршанди, гъушуна, гъушен, гъушуб, магъуяна)"
воздух,"гьава (йи, бур)"
высота,гьававел
воздушный,гьавайинф
высокий,гьаваф
всегда,гьемишан
всегда,гьемишанди
всякий,гьерф
встретить (ся),"гьучархьас (гьучархьай, гьучархьуна, гьучархь, гьучархьеб, гьучамархьа)"
встречать (ся),"гьучархьас (гьучархьай, гьучархьуна, гьучархь, гьучархьеб, гьучамархьа)"
встреча,"гьучархьеб (а, ар)"
вымя,гIав
вытаскивать (вверх),"гIагъдивас (гIагъдивай, гIагъдивуна, гIагъдив, гIагъдивуб, гIагъмадива)"
вытащить (вверх),"гIагъдивас (гIагъдивай, гIагъдивуна, гIагъдив, гIагъдивуб, гIагъмадива)"
вытягивать (вверх),"гIагъдивас (гIагъдивай, гIагъдивуна, гIагъдив, гIагъдивуб, гIагъмадива)"
вытянуть (вверх),"гIагъдивас (гIагъдивай, гIагъдивуна, гIагъдив, гIагъдивуб, гIагъмадива)"
внутренность,"гIан (а, ар)"
внутри,гIанаъ
вой,гIанцI
выбирать,"гIаттивас (гIаттивай, гIаттивуна, гIаттив, гIаттивуб, гIаттимива)"
выбрать,"гIаттивас (гIаттивай, гIаттивуна, гIаттив, гIаттивуб, гIаттимива)"
вытаскивать,"гIаттивас (гIаттивай, гIаттивуна, гIаттив, гIаттивуб, гIаттимива)"
вытащить,"гIаттивас (гIаттивай, гIаттивуна, гIаттив, гIаттивуб, гIаттимива)"
выбор,"гIаттивуб (а, ар)"
выбранный,гIаттивуф
водка,гIерекьи
впятером,гIифудра
вкладывать,"гIихьас (гIихьай, гIихьуна, гIихь, гIихьуб, гIимихьа)"
вложить,"гIихьас (гIихьай, гIихьуна, гIихь, гIихьуб, гIимихьа)"
вкладчик,гIихьаф
вклад,"гIихьуб (а, ар)"
вложенный,гIихьуф
вечер,гIуьбехъ
вечером,гIуьбехъми
вечерний,гIуьбехъминф
вытягивать (ся),"дагъас (даргъай, дагъуна, дагъ, дагъуб, мадаргъа)"
вытянуть (ся),"дагъас (даргъай, дагъуна, дагъ, дагъуб, мадаргъа)"
виселица,"дарагъадж (и, ар)"
вепрь,даран вакк
вспахать,"даркас (даркай, даркуна, дарк, даркуб, мадарка)"
верблюд,"деве (йи, бур)"
война,"дегIви (-, бур)"
военный,дегIвинф
весь,джалла
все,джалла
всезнайка,джалла ягIаф
вьюга,джикал
вид,джуьре
выравнивать (кочки),"дирхIас (дирхIай, дирхIуна, дирхI, дирхIуб, мадирхIа)"
выровнить (кочки),"дирхIас (дирхIай, дирхIуна, дирхI, дирхIуб, мадирхIа)"
верно,дуз э
верно,дузди
верный,дузф
врач,"духттур (и, ар)"
врачевать,духттурвел акьас
вязанка,"дуч (у, ар)"
враг,"душман (ди, ар)"
вражда,душманвел
вражеский,душмандинф
вражий,душмандинф
вселенная,"дуьнйа (йи, бур)"
вселенный,дуьнйайинф
всемером,еридра
вшестером,ерхьидра
вдевятером,ерчIудра
Венера,зав куран гIад
вещь,"зад (у, ар)"
вред,зарар
вредить,зарар акьас
вибрация,зузрзуб
вибрировать,зурзас
вспашка (под зиму),ибхIал
"высокий (о звуке, голосе)",иккеф
весь год,истти
вкусный,иттеф
вкусно,итти
все равно,ичира
все таки,ичира
внутренности,йиркIвар лекIер
вдесетяром,йицIудра
выкидыш,"кедихьуб (а, ар)"
вздрагивать,кезурзас
вздрогнуть,кезурзас
воспламениться,керхьас
воспламеняться,керхьас
вычесть,кеттивас
вычитать,кеттивас
вычитание,кеттивуб
вешать,кехъас
выступ,кканчч
ворчать,"ккегъургъас (ккегъургъай, ккегъургъуна, ккегъургъ, ккегъургъуб, ккемагъургъа)"
выйти (из-под чего-л),"ккейчIвас (ккейчIвай, ккейчIуна, ккейчIв, ккейчIуб, ккемайчIва)"
вылезать (из-под чего-л),"ккейчIвас (ккейчIвай, ккейчIуна, ккейчIв, ккейчIуб, ккемайчIва)"
вылезти (из-под чего-л),"ккейчIвас (ккейчIвай, ккейчIуна, ккейчIв, ккейчIуб, ккемайчIва)"
выходить (из-под чего-л),"ккейчIвас (ккейчIвай, ккейчIуна, ккейчIв, ккейчIуб, ккемайчIва)"
выскакивать (из-под чего-л),ккеттархьас
выскочить (из-под чего-л),ккеттархьас
выводить (из-под чего-л),ккеттгъас
выести (из-под чего-л),ккеттгъас
вынести (из-под чего-л),ккеттгъас
выносить (из-под чего-л),ккеттгъас
вечный,ккидиркIваф
ветка,кул
ветер,"кулак (и, ар)"
ветренный,кулак аеф
вареник,курц
веточка,"кутIул (и, ар)"
внешность,"куц (а, -)"
вьюк,къакъ
ворота,"къапубур (и, -)"
ворон,къвагIанай
вес,къикъевел
войско,"къушум (ди, ар)"
весло,"кьасу (йи, бур)"
вообще,кьацIра
возмездие,кьисас
воронка,кьиф
весы,кьулар
вспоминать,кIвал хьас
вспомнить,кIвал хьас
вершина,"кIил (и, ар)"
визит,кIил дивуб
выживать,кIил ухIас
выжить,кIил ухIас
весь,кIилди
все,кIилди
верхушка,кIукI
вершина,кIукI
веранда,ларз
волна,лепе
войлок,лит
выйти танцевать,лихъуни айчIвас
выходить танцевать,лихъуни айчIвас
вот,магьа
время (свободное),"маджал (и, ар)"
восемьдесят,майцIур
восемьдесятый,майцIурпеф
восток,машрикь
вытереть,мертт акьас
вытирать,мертт акьас
взамен,мукьуйил
вместо,мукьуйил
воск,мум
вероятно,мункин э
возможно,мункин э
вероятность,мункинвел
возможность,мункинвел
выгода,муфеIет
во тьме,мучIаъ
вечерняя молитва,мучIинан къулгун
восемь,муяд
восьмой,муядпеф
ввосьмером,муядра
вчера,накь
вчеранший,накьанф
везде,нанди хьучира
всюду,нанди хьучира
вошь,нетт
восток,рагъ фагъучIа багв
восход,рагъ фагъучIуб
выкрасить,"рихьес (рихьей, рихьина, рихь, рихьиб, марихьа)"
выкрашивать,"рихьес (рихьей, рихьина, рихь, рихьиб, марихьа)"
высохнуть,"рукъас (рукъай, рукъуна, рукъ, рукъуб, марукъа)"
высыхать,"рукъас (рукъай, рукъуна, рукъ, рукъуб, марукъа)"
вянуть,"рукъас (рукъай, рукъуна, рукъ, рукъуб, марукъа)"
вскопать,"рукIас (рукIай, рукIуна, рукI, рукIуб, марукIа)"
вырыть,"рукIас (рукIай, рукIуна, рукI, рукIуб, марукIа)"
варить (ся),"руьхьес (руьхьей, руьхьуьна, руьхь, руьхьуьб, маруьхье)"
вскипеть,"руьхьес (руьхьей, руьхьуьна, руьхь, руьхьуьб, маруьхье)"
вялый,руьхьуьдай
варенный,руьхьуьф
вдруг,садпуна
внезапно,садпуна
в одиночку,сатти
вопрос,"суал (и, ар)"
волшебство,суьхIуьр
волшебник,суьхIуьрчи
вена,таб
венец,тадж
вина,тахсир
винить,"тахсир кикIас (- кикIай, - кикIуна, - кикI, - кикIуб, - кимикIа)"
ветер,тереб
вторник,тталат
в этом году,ттиъ
взболтать,"ттуттанас (ттурттанди, ттуттуна, ттуттан, ттуттуб, маттурттана)"
встрясти,"ттуттанас (ттурттанди, ттуттуна, ттуттан, ттуттуб, маттурттана)"
встряхивать,"ттуттанас (ттурттанди, ттуттуна, ттуттан, ттуттуб, маттурттана)"
веснушка,тIамтIам
вор,тIафал
вкус,тIегIем
вкус,тIем
виноград,"тIибитI (и, ар)"
виноградный,тIибитIаринф
веревка,тIил
вертушка,тIубруц
волчок,тIубруц
веретено,тIубруч
вянуть,"тIухас (тIухай, тIухуна, тIух, тIухуб, матIуха)"
выпадать (осадкам),угъас
выдергивать,удас
выдернуть,удас
выпеченный,уджуф
впереди,удигь
вперед,удигьди
веко,улин къарк
вызывать,"унахъас (унархъай, унахъуна, унахъ, унахъуб, унмархъа)"
вредный,утIуф
выпить,ухас
войти,"учIас (учIай, учIуна, учI, учIуб, амучIа)"
входить,"учIас (учIай, учIуна, учI, учIуб, амучIа)"
вошедший,учIуф
восходить,фагъучIас
выбрасывать,"фадахъас (фадархъай, фадахъуна, фадахъ, фадахъуб, фамардахъа)"
выбросить,"фадахъас (фадархъай, фадахъуна, фадахъ, фадахъуб, фамардахъа)"
выкидывать,"фадахъас (фадархъай, фадахъуна, фадахъ, фадахъуб, фамардахъа)"
выкинуть,"фадахъас (фадархъай, фадахъуна, фадахъ, фадахъуб, фамардахъа)"
выброшенный,фадахъуф
выпадать,фаттархьас
выпасть,фаттархьас
выронить,фаттархьас
выронять,фаттархьас
вернуться,хаб адес
возвращаться,хаб адес
вернуться,хаб алдаркас
возвращаться,хаб алдаркас
весть,"хабар (ди, ар)"
вестник,"хабарчи (йи, бур)"
выгода,хайир
веник,халджак
внук,хуттул
внучка,хуттул
воровать,"хъадикIенас (хъадиркIенди, хъадикIина, хъадикIен, хъадикIиб, хъадимркIена)"
воровство,хъадикIиб
вместе,хъай
вор,хъаттрикI
ворон,"хъветт (ала, ар)"
ворона,"хъветт (ала, ар)"
вороний,хъветталанф
высморкаться,хъехъв джикас
верить,"хъугъас (хъугъай, хъугъуна, хъугъ, хъугъуб, хъумугъа)"
верный,хъугъаф
верующий,хъугъаф
вера,хъугъувел
волочить (кого-что л),"хъучIирхIас (хъучIирхIай, хъучIурхIуна, хъучIурхI, хъучIурхIуб, ?)"
вода,хьед
водный,хьеттинф
водянной,хьеттинф
втроем,хьибудра
весна,"хьид (хьиди, -)"
весенний,хьидинф
веник,хьириг
волдырь,хьурхьур
варежка,хьухьал
ворот,хIав
воротник,хIав
власть,хIавел
всадник,хIейвандил алеф
волк,"хIуч (а, ар)"
волчий,хIучанф
в прошлом году,цац
восемьнадцать,цIемуяд
восемьнадцатый,цIемуядпеф
ветхий,цIуьреф
возможность,чара
выход (из положения),чара
ваш,чвеф
вино,чехир
вы,чун
веревка (тонкая),ччеI
воспринимать (слово),чIал фацанас
волос,"чIар (а, ар)"
волосянной,чIаранф
выгон,"чIир (и, ар)"
вонь,чIирхIе ниъ
вещь,шейъ
вилка,шиш
владелец,"эесси (-, бур)"
воздух,эл
воскресенье,элхIед
всегда,ягъди
выведать,ягIар акьас
выяснить,ягIар акьас
выяснить,ягIар акьас
выяснять,ягIар акьас
выяснять,ягIар акьас
ведать,ягIархьас
выясниться,ягIархьас
выясняться,ягIархьас
вчетвером,якьудра
возраст,яш
влага,Iаш
ветка (раздвоенная),Iашкул
влажный,Iашуф
венера,Iекунин гIад
вспотеть,"IемкI ичас (- ичай, - ичуна, - ич, - ичуб, - имича)"
вспотевший,IемкI ичуф
вопить,Iешас рахвас
второй,Iудпеф
вдвоем,Iудра
вилка,Iуй
вилы,Iуй
голень,"ад (у, ар)"
громадный,азманф
громоздкий,азманф
гулять,"аруцас (аруцай, аруцуна, аруц, аруцуб, маруца)"
граница,"атIуб (а, ар)"
гнаться,"ахъихьас (ахъихьай, ахъихьуна, ахъихь, ахъихьуб, ахъимихьа)"
геморрой,бабасил
гребешок (петуха),"бадбад (ди, ар)"
гной,балхун
грязь (на улице),бетIур
грудь (женская),"бизи (-, бур)"
госпожа,бика
глухота,бушевел
глухой,бушеф
грядущий,вереф
голод,"гаш (и, -)"
голодный,гашинф
годекан,"гим (и, ар)"
грех,"гунагь (и, ар)"
грешник,гунагьар кеяф
грешный,гунагьар кеяф
грузины,гурджибур
горе,гъам (уни: ар)
горесть,гъам (уни: ар)
грабеж,"гъара (йи, бур)"
грабить,гъара акьас
грабитель,"гъарачи (-, бур)"
громко,гьавайилас
гнать (скот),"гьикас (гьикай, гьикуна, гьик, гьикуб, гьимика)"
гость,"гIалашуй (гIалашува, гIалашувар / гIулар)"
гостинная,гIуларин хал
гостевая,гIуларинн хал
горе,"дард (уни, ар)"
газель,джейран
голос,"джил (и, ар)"
голосовой,джилинф
груша,"джихер (и, ар)"
грушевый,джихеринф
гибель,завал
гром,завар рухуб
герой,"игит (и, ар)"
геройство,"игитвел (ди, -)"
геройский,игитинф
гусак,илле къаз
год,"ис (а, ар)"
годовщина,ис атIуб
годовой,исанф
гнедой,кегьер
гасить,кедатас
гулять,"кируцас (кируцай, кируцуна, кируц, кируцуб, кимарца)"
глупый,кумеф
горячий,кучеф
горячо,кучи
гвоздь,къадакъ
гусь,къаз
груз,къакъ
"густой (лес, волосы...)",къалинф
горб,къускъун
горбиться,къускъунар агъикIас
горбатый,къускъунф
горбун,къускъунф
голышом,кьацIулди
голый,кьацIулф
герой,кьехIел
геройство,кьехIелвел
горечь,кьулкьунвел
горький,кьулкьунф
горло,"кьуркь (а, ар)"
группа,"кIапIал (и, ар)"
галка,кIед
голова,"кIил (и, ар)"
главный,кIилинф
головной,кIилинф
грамотный,лиркIенф
голубка,"луф (ура, ар)"
голубь,"луф (ура, ар)"
голубинный,луфуранф
гладкий,маллеф
головоломка,мастIала
горсть,мехь
гусеница,милехъв
гнездо,"муг (уйи, ар)"
гадкий,мурдалф
гнусный,мурдалф
губа,"муул (и, ар)"
губной,муулинф
грудь,"мухур (и, ар)"
грудной,мухуринф
где,нандиъ
гранат,нар
где же,нахьи
гнида,нетI
говорить,"пас (агъай, пуна, уп, пеб, магъа)"
гриб,пустталай
грива,пут (ар)
грустно,пушмалди
гррустный,пушмалф
грустный,пушмалф
гребень,"рагI (у, ар)"
гребешок,"рагI (у, ар)"
грядка,радж
гуляка,раккаттай
гумно,"ратт (и, ар)"
грунт,"руг (у, ар)"
греметь,"рухас (рухай, рухуна, рух, рухуб, маруха)"
грохот,рухуб
грязнуля,руькъуьпай
гора,"сув (а, ар)"
горянка,суван хьир
горец,суван шуй
грязь,"тIакьв (а, -)"
грязный,тIакьванф
грязнуля,тIакьвач
гореть,угас
глаз,"ул (и, ар)"
глазной,улинф
гнить,утIас
гнилой,утIуф
густой (не жидкий),уькъеф
глубина,уьркIевел
глубокий,уьркIеф
град,"хибхел (и, ар)"
гусыня,хумбе къаз
глоток,хупI
горошина,хур
грамота,хуруб ликIиб
грабить,"хъадикIенас (хъадиркIенди, хъадикIина, хъадикIен, хъадикIиб, хъадимркIена)"
грабеж,"хъадикIиб (а, ар)"
грабитель,хъаттрикI
гнев,хъел
гневаться,хъел адес
господство,хIавел
готовить,хIезур акьас
готовность,хIезурвел
готовый,хIезурф
государство,"хIуькумат (хIуькуматти, хIуькуматар)"
государственный,хIуькуматтинф
грач,чIагI
горшок,чIакь
