agul,rus
"маджал (и, ар)",досуг
мурхӏ (ар),дровни
"пул (у, ар)",деньги
"ракк (а, ар)",дверь
"рекъ (уь, ер)",дорога
"руш (руша, рушар / шибер)",девушка
"руш (руша, рушар / шибер)",дочь
"руьхӏ (ди, ар)",дух
"руьхӏ (ди, ар)",душа
"угъал (и, ар)",дождь
"укъуб (а, ар)",драка
"фикир (ди, ар)",дума
"хал (хула, хулар)",дом
"хъугъас (хъугъай, хъугъуна, хъугъ, хъугъуб, хъумугъа)",доеврять
"хӏадад (, ар)",дед
"хӏадад (а, ар)",дедушка
"чӏир (и, ар)",дерн
"шиниккв (ди, ар)",дитя
"ягъ (а, ар)",день
"айгъур (а, ар)",жеребец
"ахв (аху, ахвар)",желоб
"гавгьар (и, ар)",жемчуг
"кьулбан (ди, ар)",жертва
"кьулбан (ди, ар)",жертвоприношение
"мав (у, -)",жир
"мехъв (мехъуь, мехъвар)",желудь
"рукь (а, -)",железо
"фун (и, ар)",живот
"хумбеф (хумбетти, хумбар)",женщина
"хьир (хьира, хумбар)",жена
"ӏуьмур (ди, ар)",жизнь
"ахсар (и, ар)",заря
"вев (у, ер)",зов
"гвадж (а, ар)",затылок
"гирав (и, ар)",залог
"гъазеттар (и, -)",зелень
"гӏад (ура, ар)",звезда
"гӏур (а, ар)",заяц
"дар (дара, дарар)",засов
"дарамат (и, ар)",здание
"джил (и, ар)",земля
"заз (у, ар)",заноза
"илан (ди, ар)",змея
"иттал (и, ар)",заболевание
"ицӏул (и, ар)",запястье
"ишан (ди, ар)",знак
"къавахӏан (ди, ар)",замечание
"къизил (ди, -)",золото
"кьастт (уни, ар)",замысел
"кьур (кьвара, -)",зерно
"лихун (и, ар)",занятие
"макьала (йи, бур)",заметка
"мегӏна (йи, -)",значение
"рукъас (рукъай, рукъуна, рукъ, рукъуб, марукъа)",завять
"рукьар (и, -)",заподня
"сагъ (ди, -)",здоровье
"силеб (и, ар)",зуб
"угал (и, ар)",зуд
"ягӏарвел (ди, ар)",знание
"ӏекв (ӏеку, -)",зрение
"ӏурд (и, -)",зима
"аш (уни, ар)",каша
"будай (буди, будаяр)",кукла
"вакъ (ала, ар)",кубок
"вев (у, ер)",клик
"вев (у, ер)",крик
"газа (йи, бур)",кирка
"гилегв (и, ар)",ключ
"гитан (и, ар)",кошка
"гъаб (ала, ар)",копна
"гъвад (и, ар)",кровля
"гъван (ди, ар)",камень
"гъун (а, ар)",круча
"гъурд (ала, ар)",кулак
"гъуч (у, ар)",копье
"гьава (йи, бур)",климат
"гӏуд (ура, ар)",куропатка
"дабан (и, ар)",каблук
"дарчин (и, ар)",корица
"заз (у, ар)",колючка
"идара (йи, бур)",контора
"иъ (и, ер)",кровь
"кепек (и, ар)",копейка
"кквахӏ (у, ар)",крюк
"кквахӏ (у, ар)",крючок
"кум (а, -)",копоть
"къавахӏан (ди, ар)",кличка
"къала (йи, бур)",крепость
"къаравул (ди, ар)",караул
"къвац (ала, ар)",копыто
"къемчи (-, бур)",кнут
"къирагъ (ди, ар)",край
"кьас (а, ар)",кровать
"кьвани (-, бур)",короб
"кьвани (-, бур)",коробка
"кьун (а, ар)",козел
"макьалачи (-, бур)",корреспондент
"мац (а, ар)",камин
"нецӏвар (и, -)",камыш
"паччагь (ди, ар)",король
"паччагьвел (ди, ар)",королевство
"пеӏ (ела, ер)",курица
"рудж (ура, ар)",курдюк
"текӏил (и, ар)",конец
"тӏубул (а, ар)",колечко
"тӏубул (а, ар)",кольцо
"тӏун (а, ар)",кормушка
"хал (хула, хулар)",комната
"хил (и, ар)",крыло
"хулагъ (и, ар)",крыша
"хӏуни (-, вар)",корова
"хӏуяг (и, ар)",кастрюля
"хӏуяг (и, ар)",котел
"чувал (и, ар)",куль
"чӏилӏан (и, ар)",котомка
"ӏаб (а / ала, ар)",колыбель
"абанкьул (и, ар)",лоб
"аслан (ди, ар)",лев
"багъ (у, ар)",лента
"беӏ (уь, ер)",лапа
"бишикӏ (и, ар)",ласточка
"ваз (вазала/ вазура, вазар)",луна
"гап (у, ар)",ладонь
"гӏар (а, ар)",луг
"гӏуб (ура, ар)",лягушка
"гӏул (и, ар)",лето
"дар (дара, дарар)",лес
"дарман (и, ар)",лекарство
"дуканчи (-, бур)",лавочник
"ифул (и, ар)",лихорадка
"куц (а, -)",лик
"къатир (и, ар)",лошак
"къваркъв (а, ар)",лукошко
"кьуркь (а, ар)",лебедь
"кӏедж (и, ар)",ладанка
"кӏетӏа (йи, бур)",лопата
"мархал (и, ар)",лавина
"мерккв (мерккура, меркквар)",лед
"мурз (уни, ар)",лезвие
"парӏ (у, ар)",лопух
"рукьар (и, -)",ловушка
"сул (а, ар)",лиса
"сул (а, ар)",лисица
"тарих (ди, ар)",летопись
"ттур (ари, ар)",ложка
"хъуьссу (ий, бур)",лицо
"хӏейван (ди, ар)",лошадь
"чӏир (и, ар)",луг
"ӏаб (а / ала, ар)",люлька
"ахтта (йи, бур)",мерин
"ахун (и, ар)",матрац
"баб (а, ар)",мама
"баб (а, ар)",мать
"багниш (и, ар)",медведь
"ваз (вазала / вазура, вазар)",месяц
"гирген (и, ар)",моток
"гирген (и, ар)",мяч
"гур (а, ар)",миска
"гъад (ала, ар)",молоток
"дакьикьа (йи, бур)",минута
"джикас (джикай, джикуна, джик, джикуб, маджика)",мести
"дуьнйа (йи, бур)",мир
"идеми (-, ар)",мужчина
"иллевел (ди, -)",мужество
"иллеф (илетти, илар)",мужчина
"иф (а, -)",медь
"ишан (ди, ар)",метка
"ишан (ди, ар)",мишень
"къатир (и, ар)",мул
"кьаабчи (-, бур)",мясник
"кӏиркӏ (а, ар)",мальчик
"малла (йи, бур)",мулла
"мугӏ (уйи, ар)",мост
"мукь (уйи, ар)",место
"мурад (и, ар)",мечта
"мучӏ (ина, ар)",мрак
"некк (ди, -)",молоко
"некьв (ди, ар)",могила
"паччагь (ди, ар)",монарх
"рагӏ (у, ар)",мельница
"рукь (а, -)",металл
"ус (а, ар)",местность
"ус (а, ар)",место
"фикир (ди, ар)",мнение
"фикир (ди, ар)",мысль
"хӏуьл (и, ар)",море
"шишал (и, ар)",мешок
"шуй (шува, шувар)",муж
"асхъай (асхъайи, асхъаяр)",нарыв
"гъул (у, ар)",ниша
"гьава (йи, бур)",настроение
"гьудуркӏуб (а, ар)",недостаток
"гӏан (а, ар)",нутро
"гӏилми (-, бур)",наука
"дурахал (ди, ар)",ножовка
"душман (ди, ар)",неприятель
"зав (у, ар)",небо
"ихал (и, ар)",наждак
"кантӏ (ала, ар)",нож
"келхъуьб (а, ар)",насмешка
"лек (у, ар)",нога
"милат (и, ар)",народность
"милат (и, ар)",нация
"милатчи (-, бур)",националист
"муг (уйи, ар)",нора
"сус (а, ар)",невеста
"сус (а, ар)",невестка
"суьри (-, бур)",носилки
"ттур (ари, ар)",название
"тӏул (а, ар)",нрав
"халкь (ди, ар)",народ
"хъехъв (хъехъуь, хъехъвер)",нос
"хӏефтта (йи, бур)",неделя
"ӏевам (и, ар)",невежда
"ӏевам (и, ар)",неуч
"ӏуьш (а, ар)",ночь
"алучӏуб (а, ар)",попытка
"атӏуб (а, ар)",порез
"ахттигьар (ди, ар)",позволение
"ахттигьар (ди, ар)",полномочие
"ахттигьар (ди, ар)",право
"ахъихьуб (а, ар)",погоня
"аш (уни, ар)",плов
"бармак (и, ар)",папаха
"берхӏем (и, ар)",платье
"бугъ (у, -)",пар
"гъавур (ди, -)",понимание
гъам (уни: ар),печаль
"гъвад (и, ар)",потолок
"гъил гъушуб (а, ар)",прощение
"гъуй (гъвара, гъурур)",пес
"гъурт (у, ар)",пена
"гьава (йи, бур)",погода
"гьунар (и, ар)",подвиг
"гӏелим (ди, ар)",профессор
"гӏун (и, ар)",плечо
"дад (а, ар)",папа
"дард (уни, ар)",печаль
"дасмал (и, ар)",полотенце
"делекчи (делекчи, делекчибур)",парикмахер
"дуканчи (-, бур)",продавец
"дукӏ (у, ар)",просо
"дурахал (ди, ар)",пила
"душман (ди, ар)",противник
"емиш (емиша, емишар)",плод
"иджвел (ди, ар)",подарок
"ишан (ди, ар)",признак
"йиркӏв дахъуб (а, ар)",признание
"кируцуб (а, ар)",прогулка
"ккекк (ела, ер)",петух
"кумак (и, ар)",помощь
"кумакчи (-, бур)",помощник
"кутӏул (и, ар)",прутик
"къаб (у, ар)",посудина
"къавахӏан (ди, ар)",попрек
"къавахӏан (ди, ар)",прозвище
"къайда (йи, бур)",порядок
"къайда (йи, бур)",правило
"къемчи (-, бур)",плеть
"къучма (йи, бур)",подруга
"кьас (а, ар)",полка
"кьутӏур (и, ар)",пирог
"кӏаш (ала, ар)",палка
"кӏедж (и, ар)",письмо
"кӏучӏ (ала, ар)",пуговица
"лихъванас (лихъванди, лихъуна, лихъван, лихъуб, малирхъвана)",пляска
"лихъун (и, ар)",пляска
"ма пеб (а, ар)",предложение
"майдан (ди, ар)",площадь
"мегӏни (-, бур)",песня
"мурхьил (и, ар)",подпора
"мурхьил (и, ар)",подпорка
"мухуригьан (ди, ар)",передник
"мучӏ (ина, ар)",потемки
"некьв (ди, -)",почва
"пайгъамбар (ди, ар)",пророк
"паччагь (ди, ар)",падишах
"пиша (йи, бур)",проффесия
"рекъ (уь, ер)",путь
"руг (у, ар)",пыль
"рукъал (и, ар)",проклятие
"сур (и, ар)",половина
"сурӏуьш (а, ар)",полночь
"тухум (ди, ар)",племя
"тӏабиӏет (и, -)",природа
"тӏалаб (и, ар)",просьба
"тӏуб (тӏубу, тӏуппар)",палец
"тӏубул (а, ар)",перстень
"тӏул (а, ар)",поступок
"тӏул (а, ар)",привычка
"тӏул (а, ар)",прут
"ху (хуйи, хуппар)",поле
"хьар (а, ар)",печка
"хьар (а, ар)",печь
"хӏаягъ (а, ар)",праздник
"хӏуппахъан (ди, ар)",пастух
"хӏуькумат (хӏуькуматти, хӏуькуматар)",правительство
"чӏил (и, ар)",полоска пашни
"яхв (яху, яхвар)",падаль
"яӏар (и, ар)",поясница
"ӏатӏуб (а, ар)",пробор
"ӏашв (ӏашу, ӏашвар)",пятка
"ӏелим (ди, ар)",профессор
"ӏешал (и, ар)",плач
"ӏуьрдеккен (ди, ар)",подушка
"алухӏуб (а, ар)",ругательство
"ахттигьар (ди, ар)",разрешение
"ахттигьар (ди, ар)",распоряжение
"берхӏем (и, ар)",рубаха
"берхӏем (и, ар)",рубашка
"булах (и, ар)",родник
"ватан (ди, -)",родина
"вев (у, ер)",рев
"гал (у, ар)",равнина
"гъил (и, ар)",рука
"гъилив (и, ар)",рукав
"гъургъуб (а, ар)",разговор
"дан (ди, ар)",религия
"джаннат (джаннати, -)",рай
"дурхӏуб (а, ар)",развлечение
"зерфел (и, ар)",решето
"йирхӏун (и, ар)",рана
"къачагъ (а, ар)",разбойник
"кӏучӏ (ала, ар)",рукоять
"кӏучӏ (ала, ар)",ручка
"лихун (и, ар)",работа
"лукӏ (у, ар)",раб
"нецӏв (нецӏу, ар)",река
"пиша (йи, бур)",ремесло
"рагӏ (у, ар)",расческа
"сив (и, ар)",рот
"суьл (и, -)",рожь
"чӏал (а, ар)",речь
"чӏекӏ (ела, ер)",рыба
"чӏил (и, ар)",ремень
"шиниккв (ди, ар)",ребенок
"ӏачӏ (а, ар)",расщелина
"ӏекьул (ди, -)",разум
"ӏучал (и, ар)",развилка
"алучӏуб (а, ар)",старание
"арс (ура, -)",серебро
"ахттилатчи (-, бур)",собеседник
"ахун (и, ар)",сон
"багв (багу, багвар)",сторона
"багъ (ди, ар)",сад
"багъдихъан (ди, ар)",садовник
"берхӏем (и, ар)",сорочка
"бизи (-, бур)",сосок
"бугьу (йи, бур)",сова
"бугьу (йи, бур)",сыч
"вакк (ала, ар)",свинья
"гаф (гафуни / гафтти, гафар)",слово
"гугурт (и, -)",сера
"гъавур (ди, -)",сознание
гъам (уни: ар),скорбь
"гъуй (гъвара, гъурур)",собака
"гъун (а, ар)",склон
"гьунар (и, ар)",способность
"дагьар (и, ар)",скала
"дагьра (йи, бур)",секач
"дагьур (и, ар)",серп
"дар (дара, дарар)",ствол
"дарамат (и, ар)",сооружение
"дарамат (и, ар)",строение
"дард (уни, ар)",скорбь
"дуруц (и, ар)",соха
"дуьхӏуьб (и, ар)",сустав
"зерфел (и, ар)",сито
"ибурихъан (ди, ар)",сережка
"ибурихъан (ди, ар)",серьга
"ибхь (и, ер)",снег
"ибцӏел (и, ар)",стружка
"йиркӏв (йиркӏура, йиркӏвар)",сердце
"кавха (йи, бур)",староста
"кар (ди, ар)",событие
"келпит (и, ар)",спичка
"къайда (йи, бур)",способ
"къаравул (ди, ар)",стража
"къари (-, бур)",старуха
"къуджа (йи, бур)",старец
"къуджа (йи, бур)",старик
"къуджа (йи, бур)",старче
"къунши (-, бур)",сосед
"къургъушум (ди, -)",свинец
"кьал (и, ар)",стебелек
"кьастт (уни, ар)",стремление
"кьел (кьела, -)",соль
"кӏапӏал (и, ар)",скопище
"кӏеб (а, ар)",смерть
"кӏиркӏ (а, ар)",сын
"кӏур (а, ар)",санажнец
"лукӏ (у, ар)",слуга
"луькӏеб (а, ар)",смерть
"мав (у, -)",сало
"маккал (и, ар)",серп
"макьала (йи, бур)",статья
"маркв (марку, маркар)",стог
"мегӏна (йи, -)",смысл
"мегӏна (йи, -)",содержание
"мурхьил (и, ар)",столб
мурхӏ (ар),сани
мурхӏ (ар),санки
"мурхӏ (уйи, ар)",сарай
"мурхӏ (уйи, ар)",сеновал
"нис (и, ар)",сыр
"пиша (йи, бур)",специальность
"рагъ (у, ар)",солнце
"сус (а, ар)",сваха
"суфра (йи, бур)",скатерть
"тум (у, ар)",семя
"тӏул (а, ар)",стержень
"тӏун (а, ар)",стойло
"укъуб (а, ар)",сражение
"утун (и, ар)",спина
"хизан (ди, ар)",семья
"хъаттхуруб (а, ар)",сплетня
"хьир (хьира, хумбар)",супруга
"хӏикат (и, ар)",сказка
"хӏур (и, ар)",село
"хӏуькумат (хӏуькуматти, хӏуькуматар)",страна
"цал (цили, цилар)",стена
"чакмачи (-, бур)",сапожник
"чи (ччиччи, чияр)",сестра
"чуллевел (ди, ар)",синева
"чӏал (а, ар)",слово
"чӏал (а, ар)",сорняк
"чӏилӏан (и, ар)",сума
"чӏилӏан (и, ар)",сумка
"шагьидвел (ди, ар)",свидетельство
"шуй (шува, шувар)",супруг
"ӏекв (ӏеку, -)",свет
"абаб (абаба, абабар)",тетя
"багъ (у, ар)",тесьма
"гур (а, ар)",тарелка
"гъул (у, ар)",тагана
"гъул (у, ар)",таганок
"гъул (у, ар)",тренога
"гьунар (и, ар)",талант
"гӏедат (гӏедати, гӏедатар)",традиция
"дафттар (и, ар)",тетрадь
"джан (джанди, -)",тело
"диф (ура, ар)",туман
"дусттагъ (и, ар)",тюрьма
"илдеш (и, ар)",товарищ
"исал (и, ар)",теснина
"къафлан (ди, ар)",тигр
"къух (у, ар)",трахея
"кӏапӏал (и, ар)",толпа
"кӏедж (и, ар)",талисман
"лихун (и, ар)",труд
"лихъун (и, ар)",танец
"мучӏ (ина, ар)",темнота
"мучӏ (ина, ар)",тьма
"нецӏвар (и, -)",тростник
"ратт (и, ар)",ток
"рекъ (уь, ер)",тропа
"тӏалаб (и, ар)",требование
"урч (уна, ар)",теленок
"хьиджарбаб (хьиджарбаба, хьиджарбабар)",теща
"хьиджардад (хьиджардада, хьиджардадар)",тесть
"хӏаягъ (а, ар)",торжество
"якӏв (ала, ар)",топор
"яӏар (и, ар)",талия
"ӏуькӏ (и, ер)",трава
"асхъай (асхъайи, асхъаяр)",фурункул
"багъ (у, ар)",фитиль
"бугьу (йи, бур)",филин
"емиш (емиша, емишар)",фрукт
"мухуригьан (ди, ар)",фартук
"тухум (ди, ар)",фамилия
"гуни (-, вар)",хлеб
"ишкилчи (-, бур)",художник
"кӏунтӏ (ала, ар)",холм
"магӏишат (и, ар)",хозяйство
"мекӏ (микӏила, мекӏер)",холод
"мехь (и, ер)",хлев
"рудж (ура, ар)",хвост
"эесси (-, бур)",хозяин
"кьастт (уни, ар)",цель
"паччагь (ди, ар)",царь
"паччагьвел (ди, ар)",царство
"тук (у, ар)",цветок
"адждагьа (аджагьайи, аджагьабур)",чудище
"асхъай (асхъайи, асхъаяр)",чирей
"бегӏли (-, бур)",черешня
"вакъ (ала, ар)",чаша
"вакъ (ала, ар)",чашка
"гуг (у, ар)",череп
"гъурбат (и, -)",чужбина
"инсан (ди, ар)",человек
"инсанвел (ди, -)",человечность
"кьутӏур (и, ар)",чуду
"кӏучӏ (ала, ар)",чернок
"сеӏет (сеӏетти, сеӏетар)",час
"хӏуппахъан (ди, ар)",чабан
"гардан (ди, ар)",шея
"гъуч (у, ар)",штык
"заз (у, ар)",шип
"зарафатчи (-, бур)",шутник
"кьвати (-, бур)",шкатулка
"мактаб (и, ар)",школа
"шавлар (и, -)",штаны
"ӏачӏ (а, ар)",щель
"гьава (йи, бур)",атмосфера
"далил (и, ар)",аргумент
"джегьенем (ди, -)",ад
"къушум (ди, ар)",армия
"кӏедж (и, ар)",амулет
"малайик (ди, ар)",ангел
"хӏеракатлу (йи, бур)",активист
"хӏур (и, ар)",аул
"ӏуьтӏуб (а, ар)",еда
"ӏуьтӏуб (а, ар)",еда
"алат (и, ар)",инструмент
"гъил гъушуб (а, ар)",извенение
"дурхӏуб (а, ар)",игра
"келхъуьб (а, ар)",издевка
"ручӏ (у, -)",иней
"тарих (ди, ар)",история
"ттур (ари, ар)",имя
"хабар (ди, ар)",известие
"хӏекь (ди, -)",истина
"агъу (йи, бур)",отрава
"алат (и, ар)",орудие
"ачӏ (а, ар)",овраг
"гъаб (ала, ар)",охапка
"гъавур (ди, -)",осознание
"гъалатӏ (и, ар)",ошибка
"гъараг (и, ар)",ожерелье
"гъун (а, ар)",обрыв
"гӏафна (йи, бур)",огурец
"гӏедат (гӏедати, гӏедатар)",обычай
"гӏурч (а, ар)",охота
"гӏурчахъан (ди, ар)",охотник
"дад (а, ар)",отец
"дайиб (а, ар)",отказ
"джемеӏет (и, ар)",общество
"джемеӏет (и, ар)",община
"джуваб (а, ар)",ответ
"ибур ес (- ирцӏанди, - йина, - тин, - еб, - майирцӏана)",обратить внимание
"ибцӏел (и, ар)",опилка
"идара (йи, бур)",организация
"ишан (ди, ар)",обозначение
"ишан (ди, ар)",отметина
"ишан (ди, ар)",отметка
"куц (а, -)",облик
"къемч (у, ар)",осленок
"къирагъ (ди, ар)",окраина
"къири (-, бур)",облако
"кьаб (у, ар)",опора
"кьаб (у, ар)",основание
"кӏедж (и, ар)",оберег
"лекар (и, -)",обувь
"лиӏ (ура, ер)",орел
"макьала (йи, бур)",очерк
"мац (а, ар)",очаг
"мехь (и, ер)",овчарня
"мурхьил (и, ар)",опора
"нубат (и, ар)",очередь
"рехӏет (рехӏетти, -)",отдых
"сурат (и, ар)",образ
"суьри (-, бур)",одр
"тӏагар (и, ар)",окно
"хӏуб (хӏуппа, хӏуппар)",овца
"цӏа (цӏи, цӏабур)",огонь
"ӏемал (ди, ар)",обман
"агӏай (агӏайи, агӏаяр)",улитка
"алучӏуб (а, ар)",усердие
"ачӏ (а, ар)",ущелье
"багам (и, ар)",утро
"гӏелим (ди, ар)",ученый
"дарс (уни, ар)",урок
"ибур (и, ар)",ухо
"идара (йи, бур)",учреждение
"исал (и, ар)",узкое ущелье
"йирхӏуб (а, ар)",удар
"кквахӏ (у, ар)",удочка
"куьча (йи, бур)",улица
"къавахӏан (ди, ар)",упрек
"кьастт (уни, ар)",умысел
"кӏеб (а, ар)",убийство
"мегӏелим (ди, ар)",учитель
"муртт (у, ар)",угол
"ракк (а, ар)",улица
"ягӏарвел (ди, ар)",умение
"ӏекьул (ди, -)",ум
"ӏелим (ди, ар)",ученый
"кьибла (йи, -)",юг
"агъу (йи, бур)",яд
"гъурагъал (и, ар)",яйцо
"гьеч (и, ар)",яблоко
"дабакь (и, ар)",ящур
"ккабалай (ккабали, ккабалаяр)",ящерица
"ккел (а, ар)",ягненок
"мез (ура, ар)",язык
"мух (а, -)",ячмень
"тӏун (а, ар)",ясли
"чӏал (а, ар)",язык
