agul,rus
"мез (ура, ар)",язык
"мехь (и, ер)",хлев
"милат (и, ар)",нация
"милатчи (-, вур)",националист
"муг (уйи, ар)",нора
"мугӏ (уйи, ар)",мост
"муджур (и, ар)",борода
"мукь (уйи, ар)",место
"мурад (и, ар)",мечта
"мурз (уни, ар)",лезвие
"муртт (у, ар)",угол
"мурхӏ (уйи, ар)",сарай
"мурхьил (и, ар)",опора
"муул (и, ар)",губа
"мух (а, -)",ячмень
"мухур (и, ар)",грудь
"мухуригьан (ди, ар)",передник
"мучӏ (ина, ар)",мрак
"некк (ди, -)",молоко
"некьв (ди, -)",почва
"некьв (ди, ар)",могила
"нецӏв (нецӏу, ар)",река
"нецӏвар (и, -)",тростник
"нис (и, ар)",сыр
"нубат (и, ар)",очередь
"пайгъамбар (ди, ар)",пророк
"парӏ (у, ар)",лопух
"паччагь (ди, ар)",царь
"паччагьвел (ди, ар)",царство
"пеӏ (ела, ер)",курица
"пиша (йи, вур)",специальность
"пул (у, ар)",деньги
"пут (-, ар)",грива
"рагӏ (у, ар)",расческа
"рагъ (у, ар)",солнце
"ракк (а, ар)",улица
"ратт (и, ар)",ток
"рекъ (уь, ер)",тропа
"рехӏет (рехӏетти, -)",отдых
"руг (у, ар)",пыль
"рудж (ура, ар)",хвост
"рукъал (и, ар)",проклятие
"рукь (а, -)",железо
"рукьар (и, -)",ловушка
"ручӏ (у, -)",иней
"руьхӏ (ди, ар)",душа
"сагъ (ди, -)",здоровье
"сив (и, ар)",рот
"силеб (и, ар)",зуб
"суал (и, ар)",вопрос
"сув (а, ар)",гора
"сул (а, ар)",лиса
"сур (и, ар)",половина
"сурӏуьш (а, ар)",полночь
"сурат (и, ар)",образ
"сус (а, ар)",невеста
"суфра (йи, вур)",скатерть
"суьл (и, -)",рожь
"суьри (-, вур)",носилки
"тӏабиӏет (и, -)",природа
"тӏагар (и, ар)",окно
"тӏакьв (а, -)",грязь
"тӏалаб (и, ар)",требование
"тӏибитӏ (и, ар)",виноград
"тӏубул (а, ар)",перстень
"тӏул (а, ар)",нрав
"тӏун (а, ар)",кормушка
"тарих (ди, ар)",история
"тарих (ди, ар)",летопись
"текӏил (и, ар)",конец
"ттур (ари, ар)",имя
"тук (у, ар)",цветок
"тум (у, ар)",семя
"тухум (ди, ар)",племя
"угал (и, ар)",зуд
"угъал (и, ар)",дождь
"укъуб (а, ар)",битва
"ул (и, ар)",глаз
"урч (уна, ар)",теленок
"ус (а, ар)",местность
"утун (и, ар)",спина
"фикир (ди, ар)",дума
"фун (и, ар)",живот
"хӏабаб (а, ар)",бабушка
"хӏадад (, ар)",дед
"хӏаягъ (а, ар)",праздник
"хӏейван (ди, ар)",лошадь
"хӏекь (ди, -)",истина
"хӏеракатлу (йи, вур)",активист
"хӏефтта (йи, вур)",неделя
"хӏикат (и, ар)",сказка
"хӏуни (-, вар)",корова
"хӏуппахъан (ди, ар)",пастух
"хӏур (и, ар)",аул
"хӏуч (а, ар)",волк
"хӏуьл (и, ар)",море
"хӏуяг (и, ар)",котел
"хабар (ди, ар)",известие
"хабарчи (йи, вур)",вестник
"халкь (ди, ар)",народ
"хибхел (и, ар)",град
"хизан (ди, ар)",семья
"хил (и, ар)",крыло
"хулагъ (и, ар)",крыша
"хъадикӏиб (а, ар)",грабеж
"хъаттхуруб (а, ар)",сплетня
"хъветт (ала, ар)",ворона
"хъуьссу (ий, вур)",лицо
"хьар (а, ар)",печь
"цӏагъун (и, ар)",бревно
"чӏал (а, ар)",речь
"чӏар (а, ар)",волос
"чӏекӏ (ела, ер)",рыба
"чӏигъанчи (-, вур)",гармонист
"чӏил (и, ар)",полоска пашни
"чӏилӏан (и, ар)",котомка
"чӏир (и, ар)",выгон
"чакмачи (-, вур)",сапожник
"чувал (и, ар)",куль
"чуллевел (ди, ар)",синева
"шавлар (и, -)",брюки
"шагьидвел (ди, ар)",свидетельство
"шагьур (ди, ар)",город
"шиниккв (ди, ар)",дитя
"шишал (и, ар)",мешок
"эесси (-, вур)",хозяин
"яӏар (и, ар)",поясница
"яӏар (и, ар)",талия
"ягӏарвел (ди, ар)",знание
"ягъ (а, ар)",день
"якӏв (ала, ар)",топор
"мурхӏ (-, ар)",сани
